index, description
0,fluviodeltaic system with sigmoidal bedding consisting of sand and shale layers with an overall high porosity (20-33%)
1,flat and parralel bedding consisting of shaly package with low porosity (10-20%)
2,clearly visible bright spots caused by biogenic gas pockets 
3,high angle normal fault with small throw 
4,chaotic seismic facies likely representing slumped deposits
5,sigmoidal bedding (clinoform) consisting of sand and shale layers with an overall medium porosity
6,flat shaly layers with low porosity
7,vertical chaotic disturbance realted to gas chimney 
8,high angle normal fault with small throw 
9,chaotic deposits - slumps
